run_id,episode,reward,avg_wait_time,epsilon,alpha,gamma,epsilon_decay,deliveries,energy_used
qlearning_v1,77,-27258.8,70.59,0.46122,0.1,0.99,0.99,19,86
qlearning_v1,78,-26989.3,85.3,0.45661,0.1,0.99,0.99,16,91
qlearning_v1,79,-28075.0,104.47,0.45204,0.1,0.99,0.99,22,75
qlearning_v1,80,-29671.7,77.8,0.44752,0.1,0.99,0.99,17,99
qlearning_v1,81,-29204.1,62.29,0.44305,0.1,0.99,0.99,16,87
qlearning_v1,82,-27374.3,30.73,0.43862,0.1,0.99,0.99,7,96
qlearning_v1,83,-28899.5,64.56,0.43423,0.1,0.99,0.99,8,95
qlearning_v1,84,-28242.4,37.6,0.42989,0.1,0.99,0.99,2,98
qlearning_v1,85,-29648.3,64.1,0.42559,0.1,0.99,0.99,12,111
qlearning_v1,86,-26935.1,71.53,0.42133,0.1,0.99,0.99,11,92
qlearning_v1,87,-28931.3,92.11,0.41712,0.1,0.99,0.99,20,81
qlearning_v1,88,-28048.1,86.83,0.41295,0.1,0.99,0.99,16,82
qlearning_v1,89,-29078.2,97.18,0.40882,0.1,0.99,0.99,20,94
qlearning_v1,90,-27925.0,35.36,0.40473,0.1,0.99,0.99,6,75
qlearning_v1,91,-27069.7,54.65,0.40068,0.1,0.99,0.99,15,84
qlearning_v1,92,-27290.6,30.4,0.39668,0.1,0.99,0.99,7,72
qlearning_v1,93,-28963.2,34.71,0.39271,0.1,0.99,0.99,9,89
qlearning_v1,94,-27644.1,51.84,0.38878,0.1,0.99,0.99,11,97
qlearning_v1,95,-27857.4,66.31,0.3849,0.1,0.99,0.99,22,83
qlearning_v1,96,-29419.6,79.92,0.38105,0.1,0.99,0.99,16,67
qlearning_v1,97,-28807.8,78.95,0.37724,0.1,0.99,0.99,14,96
qlearning_v1,98,-27391.5,90.21,0.37346,0.1,0.99,0.99,21,75
qlearning_v1,99,-30199.0,59.52,0.36973,0.1,0.99,0.99,15,90
qlearning_v1,100,-28808.9,65.6,0.36603,0.1,0.99,0.99,17,83
qlearning_v1,101,-29241.7,61.69,0.36237,0.1,0.99,0.99,8,109
qlearning_v1,102,-28698.0,63.24,0.35875,0.1,0.99,0.99,17,75
qlearning_v1,103,-28071.1,87.83,0.35516,0.1,0.99,0.99,22,92
qlearning_v1,104,-27556.7,44.94,0.35161,0.1,0.99,0.99,10,94
qlearning_v1,105,-28941.5,34.82,0.34809,0.1,0.99,0.99,9,95
qlearning_v1,106,-28288.4,70.94,0.34461,0.1,0.99,0.99,12,98
qlearning_v1,107,-29137.9,74.15,0.34117,0.1,0.99,0.99,5,83
qlearning_v1,108,-28524.4,72.88,0.33775,0.1,0.99,0.99,18,88
qlearning_v1,109,-29202.7,65.08,0.33438,0.1,0.99,0.99,5,104
qlearning_v1,110,-28346.3,73.06,0.33103,0.1,0.99,0.99,23,111
qlearning_v1,111,-29378.3,25.5,0.32772,0.1,0.99,0.99,6,91
qlearning_v1,112,-27528.0,109.57,0.32445,0.1,0.99,0.99,15,85
qlearning_v1,113,-28469.1,57.69,0.3212,0.1,0.99,0.99,8,82
qlearning_v1,114,-28442.2,78.0,0.31799,0.1,0.99,0.99,13,89
qlearning_v1,115,-28945.2,60.77,0.31481,0.1,0.99,0.99,5,99
qlearning_v1,116,-27451.1,70.79,0.31166,0.1,0.99,0.99,7,67
qlearning_v1,117,-27620.5,25.9,0.30854,0.1,0.99,0.99,2,80
qlearning_v1,118,-29484.1,84.43,0.30546,0.1,0.99,0.99,15,92
qlearning_v1,119,-29766.5,13.2,0.3024,0.1,0.99,0.99,2,85
qlearning_v1,120,-27751.4,72.4,0.29938,0.1,0.99,0.99,17,83
qlearning_v1,121,-29493.0,45.93,0.29639,0.1,0.99,0.99,7,70
qlearning_v1,122,-29365.0,33.17,0.29342,0.1,0.99,0.99,10,90
qlearning_v1,123,-28337.5,65.33,0.29049,0.1,0.99,0.99,7,95
qlearning_v1,124,-29198.3,61.31,0.28758,0.1,0.99,0.99,8,96
qlearning_v1,125,-29634.0,74.31,0.28471,0.1,0.99,0.99,18,90
qlearning_v1,126,-28119.1,21.0,0.28186,0.1,0.99,0.99,3,97
qlearning_v1,127,-28269.1,44.47,0.27904,0.1,0.99,0.99,7,92
qlearning_v1,128,-28492.5,64.05,0.27625,0.1,0.99,0.99,12,85
qlearning_v1,129,-29166.8,61.05,0.27349,0.1,0.99,0.99,12,96
qlearning_v1,130,-28776.4,59.83,0.27075,0.1,0.99,0.99,10,83
qlearning_v1,131,-28518.6,47.15,0.26805,0.1,0.99,0.99,5,82
qlearning_v1,132,-28843.3,54.79,0.26537,0.1,0.99,0.99,6,81
qlearning_v1,133,-32010.7,61.05,0.26271,0.1,0.99,0.99,13,99
qlearning_v1,134,-28600.4,52.0,0.26009,0.1,0.99,0.99,10,88
qlearning_v1,135,-27178.6,28.44,0.25748,0.1,0.99,0.99,8,92
qlearning_v1,136,-29462.7,46.59,0.25491,0.1,0.99,0.99,9,89
qlearning_v1,137,-27796.0,41.75,0.25236,0.1,0.99,0.99,10,85
qlearning_v1,138,-28143.9,87.88,0.24984,0.1,0.99,0.99,17,88
qlearning_v1,139,-28080.5,88.45,0.24734,0.1,0.99,0.99,17,105
qlearning_v1,140,-29194.7,94.45,0.24487,0.1,0.99,0.99,14,99
qlearning_v1,141,-29999.3,108.89,0.24242,0.1,0.99,0.99,19,101
qlearning_v1,142,-28705.5,55.67,0.23999,0.1,0.99,0.99,10,95
qlearning_v1,143,-28679.8,87.5,0.23759,0.1,0.99,0.99,9,96
qlearning_v1,144,-28746.9,30.13,0.23522,0.1,0.99,0.99,7,68
qlearning_v1,145,-28300.2,54.91,0.23286,0.1,0.99,0.99,15,94
qlearning_v1,146,-28316.7,58.41,0.23054,0.1,0.99,0.99,14,104
qlearning_v1,147,-28986.9,95.17,0.22823,0.1,0.99,0.99,10,93
qlearning_v1,148,-27995.6,47.78,0.22595,0.1,0.99,0.99,10,107
qlearning_v1,149,-29211.6,88.5,0.22369,0.1,0.99,0.99,21,97
qlearning_v1,150,-28996.6,75.09,0.22145,0.1,0.99,0.99,16,87
qlearning_v1,151,-31126.7,90.76,0.21924,0.1,0.99,0.99,13,89
qlearning_v1,152,-29131.4,101.47,0.21704,0.1,0.99,0.99,11,83
qlearning_v1,153,-30716.9,39.29,0.21487,0.1,0.99,0.99,6,88
qlearning_v1,154,-27415.0,66.18,0.21273,0.1,0.99,0.99,9,95
qlearning_v1,155,-29266.5,109.15,0.2106,0.1,0.99,0.99,19,70
qlearning_v1,156,-28593.0,99.65,0.20849,0.1,0.99,0.99,21,100
qlearning_v1,157,-27332.9,87.44,0.20641,0.1,0.99,0.99,22,83
qlearning_v1,158,-29801.3,86.11,0.20434,0.1,0.99,0.99,11,76
qlearning_v1,159,-27205.8,97.21,0.2023,0.1,0.99,0.99,21,81
qlearning_v1,160,-27199.6,47.69,0.20028,0.1,0.99,0.99,5,112
qlearning_v1,161,-28378.3,64.0,0.19827,0.1,0.99,0.99,10,86
qlearning_v1,162,-28197.5,72.55,0.19629,0.1,0.99,0.99,13,90
qlearning_v1,163,-29755.3,91.44,0.19433,0.1,0.99,0.99,8,86
qlearning_v1,164,-28118.4,56.77,0.19239,0.1,0.99,0.99,5,103
qlearning_v1,165,-30144.9,85.81,0.19046,0.1,0.99,0.99,8,108
qlearning_v1,166,-29441.5,58.53,0.18856,0.1,0.99,0.99,9,90
qlearning_v1,167,-29142.0,68.38,0.18667,0.1,0.99,0.99,13,70
qlearning_v1,168,-30149.9,40.35,0.1848,0.1,0.99,0.99,12,88
qlearning_v1,169,-28957.8,92.65,0.18296,0.1,0.99,0.99,18,116
qlearning_v1,170,-29869.7,50.54,0.18113,0.1,0.99,0.99,5,74
qlearning_v1,171,-31395.9,6.0,0.17932,0.1,0.99,0.99,0,63
qlearning_v1,172,-27679.7,27.28,0.17752,0.1,0.99,0.99,10,74
qlearning_v1,173,-29414.7,78.5,0.17575,0.1,0.99,0.99,8,84
qlearning_v1,174,-28432.5,78.63,0.17399,0.1,0.99,0.99,19,75
qlearning_v1,175,-28164.9,87.09,0.17225,0.1,0.99,0.99,15,78
qlearning_v1,176,-28641.3,70.9,0.17053,0.1,0.99,0.99,12,101
qlearning_v1,177,-28294.3,84.16,0.16882,0.1,0.99,0.99,12,106
qlearning_v1,178,-27879.5,92.05,0.16713,0.1,0.99,0.99,11,90
qlearning_v1,179,-30512.6,87.0,0.16546,0.1,0.99,0.99,9,112
qlearning_v1,180,-30104.8,73.94,0.16381,0.1,0.99,0.99,9,101
qlearning_v1,181,-29417.3,29.54,0.16217,0.1,0.99,0.99,5,76
qlearning_v1,182,-29973.8,119.89,0.16055,0.1,0.99,0.99,13,116
qlearning_v1,183,-31061.5,64.12,0.15894,0.1,0.99,0.99,9,85
qlearning_v1,184,-27555.2,92.45,0.15735,0.1,0.99,0.99,12,84
qlearning_v1,185,-28106.9,58.93,0.15578,0.1,0.99,0.99,7,93
qlearning_v1,186,-28737.9,41.87,0.15422,0.1,0.99,0.99,7,78
qlearning_v1,187,-28164.0,32.11,0.15268,0.1,0.99,0.99,1,110
qlearning_v1,188,-28445.8,92.12,0.15115,0.1,0.99,0.99,18,86
qlearning_v1,189,-28986.8,83.27,0.14964,0.1,0.99,0.99,14,101
qlearning_v1,190,-28337.9,50.19,0.14814,0.1,0.99,0.99,8,108
qlearning_v1,191,-27756.9,82.4,0.14666,0.1,0.99,0.99,12,103
qlearning_v1,192,-27680.2,85.15,0.1452,0.1,0.99,0.99,12,99
qlearning_v1,193,-28420.5,126.12,0.14374,0.1,0.99,0.99,8,125
qlearning_v1,194,-31898.9,73.07,0.14231,0.1,0.99,0.99,6,68
qlearning_v1,195,-33009.9,83.08,0.14088,0.1,0.99,0.99,5,118
qlearning_v1,196,-30375.3,38.0,0.13948,0.1,0.99,0.99,7,86
qlearning_v1,197,-26734.8,63.57,0.13808,0.1,0.99,0.99,20,91
