run_id,episode,reward,avg_wait_time,epsilon,alpha,gamma,epsilon_decay,deliveries,energy_used
qlearning_v2,1,-26968.8,48.62,0.997,0.05,0.99,0.997,14,81
qlearning_v2,2,-27278.6,70.46,0.99401,0.05,0.99,0.997,16,92
qlearning_v2,3,-28263.9,12.9,0.99103,0.05,0.99,0.997,2,83
qlearning_v2,4,-26964.6,35.29,0.98805,0.05,0.99,0.997,9,92
qlearning_v2,5,-29951.2,72.5,0.98509,0.05,0.99,0.997,18,99
qlearning_v2,6,-29634.8,83.18,0.98213,0.05,0.99,0.997,14,81
qlearning_v2,7,-28670.6,52.62,0.97919,0.05,0.99,0.997,8,77
qlearning_v2,8,-30020.0,57.88,0.97625,0.05,0.99,0.997,8,90
qlearning_v2,9,-30533.2,73.04,0.97332,0.05,0.99,0.997,19,89
qlearning_v2,10,-27503.5,37.05,0.9704,0.05,0.99,0.997,13,85
qlearning_v2,11,-26038.8,53.41,0.96749,0.05,0.99,0.997,9,116
qlearning_v2,12,-31030.1,90.81,0.96459,0.05,0.99,0.997,19,77
qlearning_v2,13,-27086.2,67.28,0.96169,0.05,0.99,0.997,17,94
qlearning_v2,14,-29499.7,8.0,0.95881,0.05,0.99,0.997,2,94
qlearning_v2,15,-27440.3,48.52,0.95593,0.05,0.99,0.997,15,86
qlearning_v2,16,-29431.0,87.52,0.95307,0.05,0.99,0.997,15,100
qlearning_v2,17,-26522.3,84.91,0.95021,0.05,0.99,0.997,15,101
qlearning_v2,18,-30140.6,88.94,0.94736,0.05,0.99,0.997,9,92
qlearning_v2,19,-27430.2,75.5,0.94451,0.05,0.99,0.997,26,104
qlearning_v2,20,-27459.7,63.44,0.94168,0.05,0.99,0.997,20,114
qlearning_v2,21,-29223.4,38.18,0.93885,0.05,0.99,0.997,9,88
qlearning_v2,22,-28864.9,73.0,0.93604,0.05,0.99,0.997,23,88
qlearning_v2,23,-27416.3,64.95,0.93323,0.05,0.99,0.997,14,96
qlearning_v2,24,-28789.5,25.62,0.93043,0.05,0.99,0.997,5,110
qlearning_v2,25,-27634.8,44.44,0.92764,0.05,0.99,0.997,17,86
qlearning_v2,26,-28850.3,28.1,0.92486,0.05,0.99,0.997,2,81
qlearning_v2,27,-29499.5,70.07,0.92208,0.05,0.99,0.997,20,90
qlearning_v2,28,-28152.4,30.81,0.91932,0.05,0.99,0.997,8,98
qlearning_v2,29,-27238.4,27.5,0.91656,0.05,0.99,0.997,12,83
qlearning_v2,30,-28350.2,78.92,0.91381,0.05,0.99,0.997,16,89
qlearning_v2,31,-27473.3,67.48,0.91107,0.05,0.99,0.997,22,96
qlearning_v2,32,-30058.1,36.38,0.90833,0.05,0.99,0.997,8,77
qlearning_v2,33,-27164.2,66.83,0.90561,0.05,0.99,0.997,22,99
qlearning_v2,34,-27833.2,54.56,0.90289,0.05,0.99,0.997,19,104
qlearning_v2,35,-26797.8,70.23,0.90018,0.05,0.99,0.997,22,96
qlearning_v2,36,-28559.1,83.44,0.89748,0.05,0.99,0.997,19,87
qlearning_v2,37,-28110.4,80.0,0.89479,0.05,0.99,0.997,22,88
qlearning_v2,38,-28657.1,62.73,0.89211,0.05,0.99,0.997,7,92
qlearning_v2,39,-29305.6,73.23,0.88943,0.05,0.99,0.997,16,97
qlearning_v2,40,-29189.2,44.76,0.88676,0.05,0.99,0.997,13,89
qlearning_v2,41,-30198.8,60.19,0.8841,0.05,0.99,0.997,13,76
qlearning_v2,42,-30847.5,77.45,0.88145,0.05,0.99,0.997,12,105
qlearning_v2,43,-29045.5,69.57,0.8788,0.05,0.99,0.997,29,95
qlearning_v2,44,-27999.8,63.16,0.87617,0.05,0.99,0.997,17,86
qlearning_v2,45,-27757.3,82.76,0.87354,0.05,0.99,0.997,21,96
qlearning_v2,46,-24664.6,91.12,0.87092,0.05,0.99,0.997,26,92
qlearning_v2,47,-28110.0,69.76,0.86831,0.05,0.99,0.997,9,110
qlearning_v2,48,-30053.3,32.28,0.8657,0.05,0.99,0.997,10,81
qlearning_v2,49,-30423.6,46.68,0.8631,0.05,0.99,0.997,11,87
qlearning_v2,50,-29172.0,66.03,0.86051,0.05,0.99,0.997,22,90
qlearning_v2,51,-30037.2,51.32,0.85793,0.05,0.99,0.997,11,84
qlearning_v2,52,-29466.3,78.91,0.85536,0.05,0.99,0.997,14,91
qlearning_v2,53,-28679.3,49.72,0.85279,0.05,0.99,0.997,10,101
qlearning_v2,54,-29589.8,33.69,0.85023,0.05,0.99,0.997,5,86
qlearning_v2,55,-28847.8,65.26,0.84768,0.05,0.99,0.997,19,96
qlearning_v2,56,-27080.4,81.82,0.84514,0.05,0.99,0.997,26,93
qlearning_v2,57,-28329.1,42.0,0.8426,0.05,0.99,0.997,9,87
qlearning_v2,58,-29442.7,38.0,0.84008,0.05,0.99,0.997,4,84
qlearning_v2,59,-30948.5,38.65,0.83756,0.05,0.99,0.997,9,85
qlearning_v2,60,-27018.4,70.06,0.83504,0.05,0.99,0.997,10,83
qlearning_v2,61,-29324.9,72.05,0.83254,0.05,0.99,0.997,14,118
qlearning_v2,62,-28350.5,81.96,0.83004,0.05,0.99,0.997,17,85
qlearning_v2,63,-26248.7,47.74,0.82755,0.05,0.99,0.997,15,79
qlearning_v2,64,-26477.3,69.38,0.82507,0.05,0.99,0.997,13,91
qlearning_v2,65,-27487.9,99.04,0.82259,0.05,0.99,0.997,17,93
qlearning_v2,66,-28642.4,69.13,0.82013,0.05,0.99,0.997,15,88
qlearning_v2,67,-29284.5,22.86,0.81767,0.05,0.99,0.997,6,100
qlearning_v2,68,-28006.2,40.6,0.81521,0.05,0.99,0.997,7,84
qlearning_v2,69,-28452.1,70.33,0.81277,0.05,0.99,0.997,16,87
qlearning_v2,70,-29660.4,44.41,0.81033,0.05,0.99,0.997,9,88
qlearning_v2,71,-28407.5,45.52,0.8079,0.05,0.99,0.997,13,75
